FID,Station_ID,Latitude,Longitude,Input_FID,Area
579,7407,-47.075,167.675,65,2.33094
580,9802,-47.075,168.025,740,2.11089
581,9171,-47.125,167.975,569,1.41897
582,9170,-47.075,167.975,568,2.11096
583,10887,-47.075,168.125,1007,3.79507
584,10886,-47.025,168.125,1006,2.49147
585,10137,-47.075,168.075,842,2.41124
586,10136,-47.025,168.075,841,2.1129
587,10134,-46.875,168.075,839,4.61575
588,9801,-47.025,168.025,739,2.11289
589,9800,-46.975,168.025,738,2.24225
590,9640,-46.875,168.025,675,2.06161
591,9169,-47.025,167.975,567,2.11289
592,9168,-46.975,167.975,566,2.64445
593,9167,-46.925,167.975,565,1.42876
594,9074,-47.025,168.175,525,4.30504
595,9166,-46.875,167.975,564,1.96752
596,7748,-47.025,167.825,385,2.1129
597,7746,-46.925,167.825,383,2.11677
598,7745,-46.875,167.825,382,2.11871
599,7739,-47.025,167.925,376,2.36042
600,7738,-46.925,167.925,375,2.32678
601,7737,-46.875,167.925,374,2.1187
602,7688,-47.025,167.875,328,2.1129
603,7687,-46.975,167.875,327,2.85107
604,7686,-46.925,167.875,326,2.11677
605,7685,-46.875,167.875,325,2.1187
606,7598,-47.025,167.775,238,2.11291
607,7597,-46.975,167.775,237,2.11485
608,7596,-46.925,167.775,236,1.55147
609,7595,-46.875,167.775,235,1.72557
610,7529,-47.025,167.725,172,2.09824
611,7528,-46.975,167.725,171,2.27774
612,9165,-46.825,167.975,563,2.12062
613,9164,-46.775,167.975,562,2.17751
614,7744,-46.825,167.825,381,2.12064
615,7743,-46.775,167.825,380,2.12256
616,7736,-46.825,167.925,373,2.12062
617,7735,-46.775,167.925,372,2.12255
618,7734,-46.725,167.925,371,2.48902
619,7684,-46.825,167.875,324,2.12063
620,7683,-46.775,167.875,323,2.12256
621,7682,-46.725,167.875,322,2.48718
622,7594,-46.825,167.775,234,2.79393
623,7593,-46.775,167.775,233,2.12257
624,7592,-46.725,167.775,232,2.3729
625,7527,-46.775,167.725,170,1.91305
626,7526,-46.725,167.725,169,1.01098
627,13355,-46.475,169.725,1866,1.79198
628,13255,-46.475,169.675,1778,1.86857
629,15080,-46.625,169.325,3407,2.17239
630,15079,-46.575,169.325,3406,2.13061
631,15078,-46.525,169.325,3405,2.13251
632,15077,-46.475,169.325,3404,2.13441
633,14973,-46.525,169.525,3315,2.50921
634,14972,-46.475,169.525,3314,2.13453
635,14803,-46.525,169.475,3161,2.12104
636,14802,-46.475,169.475,3160,2.1345
637,14514,-46.575,169.425,2901,2.17792
638,14513,-46.525,169.425,2900,2.13257
639,14508,-46.475,169.425,2899,2.13447
640,13190,-46.525,169.625,1719,1.98694
641,13189,-46.475,169.625,1718,1.77623
642,13073,-46.575,169.375,1617,2.48105
643,13072,-46.525,169.375,1616,2.13254
644,13071,-46.475,169.375,1615,2.13444
645,12976,-46.525,169.575,1528,2.88642
646,12975,-46.475,169.575,1527,2.13457
647,15012,-46.625,169.075,3352,2.95045
648,15011,-46.575,169.075,3351,2.13047
649,15010,-46.525,169.075,3350,2.13238
650,15008,-46.475,169.075,3349,2.13428
